Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,14.714314856936147,-44.325159891732326,3.255173908200959e-12,14,1.4189385332046724,4.132731354122492,136.55807464779946,92.68028922449717,-354.4005704349672,1.0,3.901937044261945e-18,-0.0077971730582503665,0.0,0.0030540589609260194,0.00779717305825037
1,35.25730288825535,51.95143629714502,-0.17358749988028843,11,1.4219463748233652,4.145180668885973,114.5149145002089,156.91955304470363,-241.7636714556636,1.0030123697130857,-2.1642041967862546e-16,-0.0026220070299507576,0.0,0.0023712269984440845,0.002622007029950541
2,23.206046296666734,98.66910002741614,-2.4094797449246057,10,1.42262295164267,4.147986150993433,41.20480378250207,189.91073158950928,36.443636895763404,1.0036912142512542,2.5712765250318624e-16,-0.0015601989470989041,0.0,0.003788268661229236,0.0015601989470991613
3,16.68944281153586,5.856120348889755,-0.09915544982748781,11,1.4218372342911128,4.144728286348573,192.7383829793501,178.10046094053754,-318.02690142554525,1.002902906382751,-3.0831453421627374e-16,-0.004631110041321855,0.0,0.0022179478105106196,0.004631110041321547
4,18.93338942463685,114.11672166407035,-1.8270905223133918,10,1.420701410977074,4.140023279864436,22.37561962617373,161.1535125071663,81.6070785730108,1.0017644325549173,-3.708144902248023e-17,-1.8197173643045027e-05,0.0,0.0005768170681741267,1.8197173643007944e-05
5,18.135133275470036,72.01434521707405,0.017484990218261,11,1.4202410597199913,4.138117853559546,132.49541471268978,178.65513463333235,-334.81203460720036,1.0013033751714053,1.516916109746736e-16,-1.7009720978460062e-05,0.0,0.0021208161848718476,1.7009720978611752e-05
6,22.453351111653216,118.59416559895435,-1.6623912886132595,10,1.420979879691671,4.1411763073591725,17.561793396296494,157.04617691535657,95.26191227307217,1.0020434314532096,5.1370019349405993e-17,-0.001966401294521337,0.0,0.003619066208082593,0.001966401294521388
7,13.98390707961459,72.81132195551756,0.021877205177053494,11,1.416016607186293,4.120673443592014,111.11159601727164,165.2035832534507,-268.4336406005172,0.9970823386527528,-1.5806898737127672e-16,-0.003260829768646168,0.0,0.0027767364710783024,0.00326082976864601
8,13.956275971443977,113.27925499748031,0.3813728123096306,10,1.416540439839887,4.12283255235303,30.803666580764805,149.7522153683362,63.63462532129026,0.9976047797639718,2.0414780976807378e-16,-0.0033978598542495774,0.0,0.004075994981674899,0.0033978598542497816
9,20.34617214235426,132.39134505899557,0.43336767897487116,10,1.4140496070047648,4.112576044583906,29.613896123593676,197.2641397656319,97.4625648163762,0.9951230051480404,1.1666223542761144e-16,-0.0035942673842109386,0.0,0.002891814433188973,0.0035942673842110553
