Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,13.172718344051379,40.424951972794936,5.449307671767656e-12,11,1.4189385332046724,4.132731354122492,128.66163070013914,107.64379283071038,-363.949627501279,1.0,-1.8217233048727103e-16,-0.0012926785894862756,0.0,0.0036220177089285434,0.0012926785894860934
1,11.063064726512025,-92.65850200048368,0.21397247357692994,12,1.4155681122482375,4.118825756781246,194.1943687899791,98.39295160638864,-377.598172712105,0.996635252536467,-6.873334376514904e-16,-0.008755284207317145,0.0,0.008155369989279248,0.008755284207316458
2,13.842301438266517,75.23606464391408,-59.406364747743794,10,1.4359836742317185,4.203778123851554,10.492643788643587,89.32810082369066,59.47151273404233,1.0171912383460862,-2.7979285555090884e-16,-0.00411872959483682,0.0,0.007435195173847219,0.00411872959483654
3,14.619095125396194,70.00618724830767,0.5155070707787799,10,1.437089254999574,4.20842831020225,5.77964179067581,81.12548460486886,59.69986107024458,1.0183164473065132,8.260059303211164e-18,-0.0056399420137117975,0.0,0.008134157758064075,0.005639942013711806
4,13.854666570014729,79.476788646023,-0.5019008191716705,10,1.4655754293052483,4.330034152104063,10.919469246348422,100.73002628721805,65.11842778418648,1.0477415009772544,-1.6493473253831326e-16,-0.000684891689512626,0.0,0.009779513364436361,0.0006848916895124611
5,12.169810927420976,11.083724679393212,0.051214796847623756,11,1.4590321261742698,4.301793919040363,134.75947959426776,104.13457089688724,-274.2108671178184,1.0409081913222415,7.009463527025393e-17,-0.002049166904753778,0.0,0.004809690688113725,0.002049166904753848
6,12.310629809247736,18.067652163724425,0.10191244223833018,11,1.4824289607875014,4.403628943079297,140.0375061700535,111.24617887816243,-285.84359182149035,1.0655492858703666,-3.560808382257143e-17,-0.0001345464808004326,0.0,0.00019273899588189732,0.00013454648080039698
7,8.954949016247019,-146.18801946816737,0.4458596683189362,12,1.4847607340737208,4.4139091883538955,183.5614872280176,79.78247515087631,-369.3158989608494,1.068036804267696,2.83427757603874e-16,-0.007747633087880611,0.0,0.0059322160358884525,0.007747633087880895
8,15.181953731748525,75.87237733777292,-50.87203649938333,10,1.4856150760144653,4.4176817874114755,18.229480750584056,123.18477404268897,56.895833041888544,1.0689496627949793,2.374989094278135e-16,-0.004809473763650394,0.0,0.009746948190709197,0.004809473763650631
9,11.999473217399117,46.81773408809367,-0.09163763597753571,11,1.4846987828479306,4.413635749739166,80.59395370839837,85.2865663115018,-207.03386133703904,1.0679706401279785,3.385282328274252e-16,-0.00349191304487467,0.0,0.006008660220097098,0.003491913044875009
10,11.237530151315475,47.25567404889923,0.34738103675556165,11,1.4838081156083192,4.409706419092093,81.276064375574,97.77578031578678,-206.41560097911582,1.067019857144431,1.4260641644027743e-16,-0.000259246716766574,0.0,0.008696809046956707,0.00025924671676671665
11,11.834939326881475,-67.50765772237054,0.2317749552994326,12,1.4936599005335516,4.4533646007113115,170.01523430578993,100.3974988934943,-295.9469969833493,1.0775838589820221,1.9701037466564372e-16,-0.008986830679210175,0.0,0.009572203739259856,0.008986830679210373
12,16.087597424440748,77.78576377351057,-28.942913850092303,10,1.5136098226866075,4.543101018859256,14.832975992292399,107.63124070362576,57.278297679049565,1.099297445097033,-1.2185807918285717e-16,-0.002686122076217588,0.0,0.008350824561922978,0.002686122076217466
13,15.27721268050505,85.72792960110036,-0.37173526100273313,10,1.514902170120507,4.548976079294873,18.067943691168416,111.54310887310193,56.558947884400595,1.1007190377272316,-6.554756737386925e-17,-7.138969661259846e-05,0.0,0.00158426257150801,7.13896966125329e-05
14,13.158278408589684,76.16906899334096,-0.22112710568973548,10,1.5138513771889024,4.544198557917156,16.11055712299843,104.18339587249488,56.133786650415715,1.0995630174180604,-3.850253449400043e-17,-0.0036824796926612806,0.0,0.00976433520573456,0.003682479692661242
15,12.592070852252535,-69.23574157444331,-0.026086321406932234,12,1.5139869039093077,4.544814459979231,201.2741787200889,114.52940837781986,-376.4286760267647,1.0997120476862539,4.6341943753496737e-17,-0.006091797117294126,0.0,0.0059125407777606605,0.006091797117294172
16,12.893734944468038,-7.479673093991479,-0.0035071988984027858,11,1.4948623495147417,4.458722765252445,200.84576123315986,135.07595237741106,-418.2385306574929,1.0788803779381324,-2.3993627597572134e-16,-7.007242873488566e-05,0.0,0.00011817904726142227,7.007242873464573e-05
17,11.357408452814614,68.47035671896003,-0.9519151480470305,11,1.4963496515121966,4.465359166470349,92.01687027744768,115.45530927564046,-220.5784143360498,1.0804861927490281,-8.006922553758958e-17,-1.0343236662142133e-05,0.0,0.0004389219221284388,1.0343236662062063e-05
18,11.888992387457272,-27.185433773934395,0.1442005159363211,12,1.4957954659178403,4.462885214324302,200.82884451984046,130.87664273556643,-359.45977492473406,1.079887568755824,6.906738676548188e-17,-0.009082938034030505,0.0,0.009135271439730827,0.009082938034030574
19,14.943702245105928,94.6219927747726,-15.067128312449505,10,1.4906973035287245,4.440190600346514,16.654181108625313,134.5739517727103,76.54468312585699,1.074396136568936,-1.9615420399077265e-16,-0.002080999072638804,0.0,0.00860685262509451,0.002080999072638608
20,13.58909775718158,95.68246763327261,0.18862865314493804,10,1.5141292677629907,4.545461523338153,12.067397978039734,113.96514679480508,76.81810791568175,1.0998686180760215,7.194245199571014e-18,-0.0010822511492942456,0.0,0.0051913392750525785,0.0010822511492942527
21,0.48160570816992343,-69.58809384994474,-0.014935576684995455,15,1.5175302685668755,4.560946959697388,169.31930953729136,133.28689264382686,-363.04612246474977,1.1036156403313608,6.701458894317926e-16,-0.0001258566184337917,0.0,0.0035208100135059425,0.00012585661843446185
22,-7.347336078218979,-175.56685410283384,0.08713651094305297,18,1.5114644311898124,4.533364736367584,134.48980342726043,143.22360753047113,-353.9392228167303,1.0969415497683994,1.7940513560220703e-16,-0.0020518937140056926,0.0,0.006420992216854713,0.002051893714005872
23,-18.328247904136475,-93.3801434442199,-0.8166562258582473,25,1.504088794910379,4.500051291895788,113.97541964363951,118.55584162652706,-372.6225229512322,1.0888806714733317,-2.839672119253485e-16,-0.003207467256952875,0.0,0.0037835952021363813,0.003207467256952591
24,-8.206976025401719,-93.67136525655252,0.10424769295913716,18,1.500786663086241,4.485216036778977,145.5476799225438,128.66831866352808,-343.31130266404807,1.0852909740442895,9.163831496881654e-17,-0.00816776699847618,0.0,0.006458235210207957,0.008167766998476272
