Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,2.6467620868021804,-182.66953052513963,1.2796430581829554e-12,16,1.4189385332046724,4.132731354122492,143.84527839147097,92.01033578868811,-370.8827432399569,1.0,8.031663505913765e-19,-0.005010151570231019,0.0,0.00389117087976296,0.0050101515702310195
1,13.702737614256188,0.40277177116610474,-0.0015247680585501744,12,1.4201880174389176,4.137898364170402,155.41449709910376,106.70183370234552,-297.79923909565616,1.0012502651648905,6.591380550497195e-17,-0.004962220346659555,0.0,0.0051279912338286415,0.004962220346659621
2,18.41167388453719,81.39942954230266,-16.514333528865386,10,1.423044963982129,4.149737021751605,14.178089888749907,107.34777137417841,60.38790804964109,1.0041148737171481,-3.628430889079937e-16,-9.418971141534943e-06,0.0,0.00012281323740990344,9.4189711411721e-06
3,21.3616917773768,89.75304381730489,0.14845908652612505,10,1.4266146878704333,4.164576908518847,16.694563424218003,121.16792332540602,69.17746470296737,1.0077056918699998,-2.7755575615628914e-17,-7.922364477751897e-05,0.0,0.0004154317890068012,7.922364477749122e-05
4,14.966328735375896,58.36556384028129,-0.09180423138143001,11,1.4276828062400535,4.169027546097273,94.00972706254757,121.74279812565591,-232.41167380023975,1.0087826158694237,9.268793370655441e-17,-0.007796151293434287,0.0,0.007542027738425932,0.0077961512934343795
5,21.284909630679902,87.5203276663913,-1.6395489777631438,10,1.4285063502654456,4.172462337981594,13.69739029881655,111.36378614616694,64.42064063675832,1.0096137349502448,2.53630449975617e-16,-0.0012833694890170052,0.0,0.004701592162955272,0.001283369489017259
6,21.749785885602797,91.96450315137541,0.4536705593123306,10,1.4276568387899475,4.168919288488072,14.637240615054736,112.41757680793667,67.67599315740208,1.0087564206972905,2.5002222514558527e-17,2.5002222514558527e-17,0.0,0.0,0.0
7,22.567110836061254,93.02991215116415,0.5443705461732493,10,1.4276568387899475,4.168919288488072,18.599571778765448,130.2716926818687,69.91835991109104,1.0087564206972905,-1.922906278650771e-17,-0.0016742060322316348,0.0,0.006446517896895338,0.0016742060322316155
8,21.305038363947972,89.22164899683627,0.09432872188770536,10,1.4301981689918717,4.179527362585607,12.54449084578056,113.16338365266303,73.3225753999908,1.0113232640724232,-9.404699241599701e-17,-0.0005846163926793765,0.0,0.009870517108878058,0.0005846163926792825
9,26.16274215423309,84.89261029434364,0.19704243065208826,11,1.4302612267621573,4.179790922571605,41.26654614711125,140.40586962794964,-25.523851285733805,1.01138703787319,5.27945088066149e-17,-0.00014589263424057342,0.0,0.001145942475261108,0.00014589263424062622
10,27.020179929154736,23.12148970784926,0.03241956132732948,11,1.430664085451736,4.1814751268907795,147.75141861231762,131.61989408090764,-287.727399518131,1.0117945660125387,1.5042106206307913e-16,-0.0034071619762370644,0.0,0.008646002925009694,0.003407161976237215
11,19.593390705878694,80.93452143209461,-17.63247239448029,10,1.43172780711668,4.185925419091165,11.84371271547274,99.69161674597187,62.96290276383983,1.0128714064405882,7.451816941284051e-17,-0.0009264243157800419,0.0,0.007858094004185568,0.0009264243157801164
12,21.104623944524615,-88.22562050602446,-0.015071894873213143,14,1.4291668732322496,4.175219255587419,169.27659629058422,154.15160997284454,-316.4831593182166,1.0102808283007667,4.795494736839392e-17,4.795494736839392e-17,0.0,0.0,0.0
13,14.690858368698665,-7.244347443643034,-0.11680105474574409,14,1.4291668732322498,4.17521925558742,120.4483111998452,107.96824335059274,-254.9107492016037,1.0102808283007665,-2.0148892623873432e-16,-2.0148892623873432e-16,0.0,0.0,0.0
14,17.944105592666656,-159.50427500538217,0.1980244058913505,14,1.4291668732322498,4.17521925558742,165.60618404989947,107.02553140434483,-362.64662939839195,1.0102808283007663,-3.1403451267968715e-16,-0.008945843921102512,0.0,0.007683438675085766,0.008945843921102198
15,21.69484314321405,54.934838099137934,-0.7850529983039327,11,1.4276266441885537,4.1687934115323255,120.78861601047373,121.13566837688467,-325.4891839701058,1.0087259621591083,-5.2077683729176326e-17,-0.0020922464749471145,0.0,0.009783480809730488,0.0020922464749470624
16,17.888614881665525,100.20270685471216,-0.9885507922192691,10,1.4262626835293108,4.163111217348072,14.159719127561313,116.9021895896924,71.02221332526052,1.0073510375154855,3.4106051316484806e-17,-0.00018520850516079066,0.0,0.003296324965562986,0.00018520850516082476
