Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,-3.719672274236802,-175.18659188951074,1.3670176102209552e-12,18,1.4189385332046722,4.132731354122491,134.45325750978336,143.87708029531078,-377.0900604236549,1.0,-7.128321236023267e-17,-0.007182852001188577,0.0,0.004562980042809588,0.007182852001188506
1,7.597883811581607,-99.92223799291459,0.3199866748435257,13,1.4276356606660803,4.168830999533889,194.55079312262302,119.98728715831334,-369.46529699485274,1.0087350573550795,1.2495599541975734e-16,-0.0036494394985983145,0.0,0.004261823670748342,0.0036494394985984394
2,19.767613004443884,-27.872795326587866,0.05261434716427704,11,1.4299355731061563,4.1784299799863405,201.16130016731213,135.07370327329525,-364.706957783462,1.0110577296098047,5.3316953528359934e-18,-0.00905521570764386,0.0,0.004845360921336517,0.009055215707643866
3,21.496598446493316,94.13670252317561,-10.759952583739294,10,1.4284237518634926,4.172117713493179,9.059191700673109,111.21352572842682,80.97234571106185,1.0095303459130962,5.81978909508507e-17,-0.0003798459158009897,0.0,0.003272136859568983,0.0003798459158010479
4,18.31382350481528,71.55027656632589,0.19337954958736847,10,1.430361508882683,4.180210101886418,16.118407822236513,102.14676078946749,43.765839773627924,1.0114884669956994,1.85135240471368e-16,-0.0005167427413851644,0.0,0.0031554439051489,0.0005167427413853495
