Expl_MeanKL,Expl_StdKL,Expl_MinKL,Expl_MaxKL,Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,BNN_DynModelSqLossBefore,BNN_DynModelSqLossAfter,AveragePolicyStd,LossAfter,MeanKL,dLoss
0.0,0.0,0.0,0.0,0,0.0,0.0,1,158,1.418938533204673,4.132731354122494,0.0,0.0,0.0,120.0257384600001,26.074045153320984,1.0,-0.0,0.0,0.0
0.001028268078108063,0.001869239535498245,2.1513032982611394e-06,0.03653261914834054,1,0.0,0.0,1,167,1.418938533204673,4.132731354122494,0.0,0.0,0.0,26.147016389715972,9.461986914443703,1.0,-0.012322895385992575,0.00629878919288041,0.012322895385992648
0.0002649572932675724,0.0005307634454572431,6.639719185640421e-07,0.013667576447758484,2,0.0,0.0,1,271,1.4372240167474715,4.2089954835730135,0.0,0.0,0.0,9.57668291447515,5.8163923076182265,1.0184536866579637,-0.014478811326259711,0.009500133303859768,0.014478811326259689
9.130275397042062e-05,0.00016880479065776565,2.2011715441658302e-07,0.003972719072471322,3,0.0,0.0,1,203,1.437986628523902,4.212206537333813,0.0,0.0,0.0,5.7443107669596865,4.77610105362658,1.0192306676629352,-0.01557708356016323,0.0081158175447493,0.01557708356016313
0.00017957574230123284,0.0003111692499137371,1.8394089265745956e-07,0.006351357060982451,4,0.07643942986402215,1.2857142857142858,5.146657766630369e-09,154,1.429166439769631,4.17521744578634,3.5670102539989395,14.0,0.0,4.8046411489538725,4.571505053535167,1.0102803903818884,-0.005814087854465754,0.007646877054818151,0.0058140878544657455
3.63707539335556e-05,5.830200513455955e-05,1.3944946864796138e-07,0.001002566801779935,5,0.001212613670772874,0.048,-19.82795224424808,125,1.4215878921480003,4.143694959746324,0.21376622745419815,1.0,0.0,4.582486361977279,4.624943690809745,1.0026528715961405,-0.007543269150399688,0.00718161038625385,0.007543269150399489
2.7177238539214207e-05,4.824631600213497e-05,9.076604924634606e-08,0.0010086539221610994,6,0.007653944238636159,0.023121387283236993,0.01188776391696933,173,1.4263883200019625,4.163634288814414,0.15028901734104044,1.0,0.0,4.5756527637510835,4.507349746222617,1.0074776054971724,-0.005266642430421934,0.005878729549703809,0.0052666424304217705
3.108490933475324e-05,5.128044539464671e-05,9.617200633081689e-08,0.001006346606902482,7,0.029929297383697977,0.532967032967033,0.00994304014210845,182,1.4263046278505802,4.163285839884638,2.5194869068202053,14.0,0.0,4.623993720030572,4.522790933027082,1.0073932910571766,-0.014903362275846621,0.007575861303779584,0.014903362275846588
5.6466418710506796e-05,0.0005650582436902523,1.1362904876262186e-07,0.04503162899419055,8,0.28258799264788215,0.9886363636363636,-0.17123956592510936,176,1.4275570762671221,4.168503407327419,3.2491058846376153,15.0,0.0,4.5533603042200905,4.5932487680504765,1.0086557896315342,-0.008932099765876788,0.008052688022564545,0.008932099765876724
0.00033513584961358133,0.0026530299861135375,1.0324023739562295e-07,0.22479148452484185,9,0.3309159646017982,2.0945945945945947,0.086527513555133,222,1.4232201796544397,4.15046418441707,7.456484424363909,43.0,0.0,4.511665268783435,4.602183495407168,1.004290825794154,-0.010527621254708526,0.007488941423742773,0.010527621254708854
0.00047264414411152066,0.0018007647272084446,7.909424762267293e-08,0.06540846751367037,10,1.100656161776126,10.253456221198157,0.14529832116048258,217,1.423762117749933,4.152714088671935,18.0459040769132,80.0,0.0,4.45086908861053,4.648077371933392,1.0048352367568025,-0.009893363066877776,0.00876347794832506,0.009893363066877794
0.0002791249519777062,0.0010898980918810993,9.444281138515027e-08,0.0379530769368902,11,2.5615412897313,19.130434782608695,0.17055453621293992,184,1.4061547214613879,4.08023555762456,23.51443469321342,129.0,0.0,4.465478558879286,4.559771514522262,0.9872975540871864,-0.009141004644979965,0.008538963926549906,0.009141004644979722
0.0002142588222388265,0.0006792904664603919,5.9075085214715165e-08,0.020317457442592075,12,4.353812879856539,36.7,0.2428793472437264,160,1.3871774871589155,4.003534064438576,27.526532654876817,110.0,0.0,4.5429098717329,4.5140149497585,0.9687380382092737,-0.007395354967859488,0.008804790319707195,0.007395354967859383
0.00013334141059659257,0.0003318529561265132,6.34514343116011e-08,0.009397251666918146,13,7.606388751376996,54.766666666666666,0.19818578756711103,150,1.3755932721132633,3.9574238558215074,32.588017566106856,124.0,0.0,4.562934017931854,4.515884070132746,0.9575807176224717,-0.006827454638913703,0.006732427579159847,0.006827454638913662
9.845910025443709e-05,0.0002114763268757856,1.096057449788061e-07,0.006559502508124553,14,8.92835339042678,61.11486486486486,0.266114231436004,148,1.3545851766806822,3.8751531192922144,29.512600068777,127.0,4.0,4.442636863716527,4.513266270349273,0.9376736078977556,-0.005984157135776083,0.007305141094701605,0.005984157135776102
7.026276078531944e-05,0.00013637835114268317,1.2850605466468646e-07,0.0037239029869827705,15,10.592566943036394,73.45038167938931,0.3186447492459157,131,1.3406660833895618,3.8215881541893495,31.81367840162635,143.0,0.0,4.52191988085983,4.521323813266367,0.9247124544829731,-0.005802658440902925,0.006589255792485491,0.005802658440903162
6.186691796401373e-05,0.00012138660286503837,9.646809038704882e-08,0.004590120637254681,16,12.28016622581107,71.43046357615894,0.3257552814422322,151,1.315731728583085,3.727477489420861,34.65659535747636,144.0,9.0,4.401646381520943,4.51559204878781,0.901940428743963,-0.005372119543676763,0.00657393016278048,0.0053721195436767415
