Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,13.619063474115746,56.10942104287186,1.0098588631990424e-11,21,1.418938533204673,4.132731354122494,94.84715294856643,107.64379283071038,-363.949627501279,1.0,5.937957960785537e-18,-0.0022141326319062076,0.0,0.005789537825134188,0.0022141326319062137
1,13.686531365779166,28.028833528410164,0.15444026615418405,21,1.4209186198731747,4.140922627420496,126.27929312461801,90.27993575957989,-404.4709170332281,1.001982048334652,1.7191171523695425e-16,-0.004908808973694487,0.0,0.006370434564493874,0.0049088089736946585
2,13.626160545322715,60.07968569655168,-0.1211464808626086,21,1.4157520434062332,4.119583406847863,95.28657672364798,107.04747648804033,-360.4967428976389,0.9968185816720189,3.8489430083007913e-16,-0.004483134595252905,0.0,0.004183493279222139,0.00448313459525329
3,13.31019047906565,68.81240438272712,-1.6803473746007036,20,1.4206009607013927,4.139607434270899,9.951997030688368,93.57440579185312,53.30120038913492,1.001663810095362,4.226619054747971e-17,-0.0016862846823533758,0.0,0.007188401191845948,0.001686284682353418
4,13.962369193453444,67.61719363959621,-0.03551028064356543,21,1.4236143652900566,4.152100560276451,82.9208181354376,123.22631184518055,-298.8872110897279,1.004686780846434,1.0704270171901442e-16,-0.0027604498817341955,0.0,0.003294648206979123,0.0027604498817343026
5,14.273259743496535,77.2770793082926,-10.251322048948317,20,1.4046600234982862,4.074141393449585,14.190643610951629,109.3855605380072,41.52913487651972,0.9858229447664278,-1.0014211682118912e-17,-0.003724780256748292,0.0,0.009999306323798213,0.003724780256748282
6,13.427484214460886,70.90975197207008,-0.06428162070916921,21,1.4254773005958052,4.159842864469967,70.81685078042172,126.0888000102219,-238.526831122974,1.0065601918015867,3.1786960990871925e-17,-0.005935590952320526,0.0,0.0038726107696199458,0.0059355909523205585
7,14.10629502271424,87.75399214668231,-2.189870669605948,20,1.4290059215739308,4.174547301201924,18.115623372251896,114.34389957370142,53.07678463518928,1.010118235011264,1.2940759575030824e-16,-0.00123819323321,0.0,0.004910825599860705,0.0012381932332101294
8,16.950898705318764,84.09113017195182,0.08162564556051843,20,1.4307062473149126,4.18165142938955,11.003796099091534,103.80599400704388,65.5280122231553,1.011837226055901,-5.74207348336131e-17,-0.002142593928674445,0.0,0.005188365722826673,0.0021425939286743878
9,14.11609674585633,84.10275464884772,-0.07172351650784936,20,1.429471206022465,4.176490105084011,13.209797741986328,121.7015714351474,68.17416891014845,1.010588336674211,-1.249444991913151e-16,-0.003027942085502,0.0,0.004442424250381528,0.003027942085501875
